Date,Open,High,Low,Close,Adj Close,Volume
2021-02-17,8.400000,9.670000,7.100000,8.190000,8.190000,15336200
2021-02-18,7.762000,8.180000,7.200000,7.310000,7.310000,5307200
2021-02-19,7.465000,7.465000,6.520000,7.030000,7.030000,5242100
2021-02-22,6.790000,6.900000,6.200000,6.240000,6.240000,4485800
2021-02-23,5.310000,5.780000,4.800000,5.410000,5.410000,4882300
2021-02-24,5.739000,6.290000,5.570000,5.650000,5.650000,3319300
2021-02-25,5.600000,5.677000,5.060000,5.300000,5.300000,3353400
2021-02-26,5.160000,5.380000,4.980000,5.080000,5.080000,1885300
2021-03-01,5.250000,5.750000,5.250000,5.510000,5.510000,2244300
2021-03-02,5.750000,6.100000,5.660000,5.810000,5.810000,3231000
2021-03-03,5.900000,5.950000,5.390000,5.420000,5.420000,2033300
2021-03-04,5.250000,5.384000,4.760000,5.060000,5.060000,2993300
2021-03-05,5.026000,5.070000,4.250000,4.880000,4.880000,2888200
2021-03-08,4.880000,5.050000,4.600000,4.660000,4.660000,1461800
2021-03-09,4.840000,5.290000,4.700000,5.180000,5.180000,1737600
2021-03-10,5.330000,5.460000,4.960000,5.150000,5.150000,1788100
2021-03-11,5.200000,5.370000,5.087000,5.310000,5.310000,1503900
2021-03-12,5.250000,5.430000,5.150000,5.240000,5.240000,1010500
2021-03-15,5.420000,5.870000,5.360000,5.870000,5.870000,1833400
2021-03-16,5.850000,6.060000,5.540000,5.760000,5.760000,2010902
