Penske Automotive Group, Inc.;715;29;;;;
Allscripts Healthcare Solutions, Inc.;1653;37;;;;
Kulicke and Soffa Industries, Inc.;1240;34;;;;
Ethan Allen Interiors Inc.;1918;26;;;;
Aspen Technology, Inc.;1170;22;;;;
Anixter International Inc.;1816;26;;;;
API Technologies Corp.;883;22;;;;
Apricus Biosciences, Inc.;1333;25;;;;
American Homes 4 Rent;76;21;;;;
AMETEK, Inc.;561;12;;;;
Arthur J. Gallagher & Co.;1685;25;;;;
Alliance Healthcare Services, Inc.;1059;34;;;;
Alliance Holdings GP, L.P.;904;26;;;;
AGCO Corporation;1504;16;;;;
Aerie Pharmaceuticals, Inc.;992;27;;;;
Ares Commercial Real Estate Corporation;846;39;;;;
Abeona Therapeutics Inc.;110;24;;;;
Western Alliance Bancorporation;1930;31;;;;
Syngenta AG;1712;11;;;;
A. Schulman, Inc.;1981;17;;;;
Northern Oil and Gas, Inc.;1170;26;;;;
Healthcare Trust of America, Inc.;287;33;;;;
G-III Apparel Group, Ltd.;393;25;;;;
Famous Dave's of America, Inc.;1029;30;;;;
CPI Aerostructures, Inc.;1949;24;;;;
Alon Blue Square Israel Ltd;1902;27;;;;
HomeAway, Inc.;63;14;;;;
Actuant Corporation;1262;19;;;;
Ascent Solar Technologies, Inc.;1209;31;;;;
Approach Resources, Inc.;1789;24;;;;
Alexandria Real Estate Equities, Inc.;1808;37;;;;
Ansys, Inc.;42;11;;;;
American National Bankshares Inc.;1589;33;;;;
Amarantus Bioscience Holdings, Inc;199;34;;;;
Alere Inc.;1422;10;;;;
Aixtron SE;919;10;;;;
Albany International Corp.;1144;26;;;;
Aspen Insurance Holdings Limited;1333;32;;;;
Argan, Inc.;901;11;;;;
AEGON N.V.;108;10;;;;
ADTRAN, Inc.;60;12;;;;
Adamas Pharmaceuticals, Inc.;1881;28;;;;
Axcelis Technologies, Inc.;1737;26;;;;
Asbury Automotive Group, Inc.;173;29;;;;
China Zenix Auto International Limited;104;38;;;;
Nuveen New Jersey Quality Municipal Income Fund;1753;47;;;;
KapStone Paper and Packaging Corporation;1696;40;;;;
HollySys Automation Technologies, Ltd.;1301;38;;;;
Group 1 Automotive, Inc.;1876;24;;;;
Enersis AmÈricas S.A.;1951;21;;;;
B/E Aerospace, Inc.;415;19;;;;
Axalta Coating Systems Ltd.;1508;27;;;;
American States Water Company;1503;29;;;;
Armstrong World Industries, Inc.;269;32;;;;
AVEO Pharmaceuticals, Inc.;1805;26;;;;
AU Optronics Corp.;149;18;;;;
Autohome Inc.;1484;13;;;;
America First Multifamily Investors, L.P.;489;41;;;;
Avino Silver & Gold Mines Ltd.;499;30;;;;
Archrock, Inc.;1756;14;;;;
Anworth Mortgage Asset Corporation;1706;34;;;;
Alexander's, Inc.;1978;17;;;;
AMN Healthcare Services Inc.;409;28;;;;
